yiddish,transliteration
א.א.ז.וו.,u.a.z.v.
א.ד.ג.,u.d.g.
אַ,a
אָ!,o!
אַ ביסל,a bisl
אַ בראָך,a brokh
אַ בראָך איז מיר,a brokh iz mir
אַ גוט געבענטשט יאָר,a gut gebentsht yor
אַ גוט יאָר,a gut yor
אַ גוט קוויטל,a gut kvitl
אַ גוטן,a gutn
אַ גוטן אָוונט,a gutn ovnt
אַ גוטן טאָג,a gutn tog
אַ גוטע וואָך,a gute vokh
אַ גוטע נאַכט,a gute nakht
אַ דאַנק,a dank
אַ דאַנק דיר,a dank dir
אַ זיסן פּסח!,a zisn peysekh!
אַ חזיר בלײַבט אַ חזיר,a khazer blaybt a khazer
אַ טאָרע טאָן,a tore ton
אַ כּל,a klal
אַ לונג און לעבער אויף דער נאָז,a lung un leber oyf der noz
אַ לעבן אויף דײַן קאָפּ,a lebn oyf dayn kop
אַ מאָל,a mol
אַ משל קאַבאַק,a moshl kabak
אַ סאַך,a sakh
אַ סך,a sakh
אַ סך מאָל,a sakh mol
אַ פּאָר,a por
אַ פּנים,a ponem
אַ פֿריילעכן חנוכה,a freylekhn khanike
אַ פֿריילעכן יום־טובֿ,a freylekhn yontev
אַ פֿריילעכן פּסח,a freylekhn peysekh
אַ צונג אויף רעדער,a tsung oyf reder
אַ צונג און ביינער,a tsung un beyner
אַ צײַט,a tsayt
אַ קיצור,a kitser
אַ קלאָג איז מיר,a klog iz mir
אַ רוח אין דײַן טאַטן אַרײַן!,a ruekh in dayn tatn arayn!
אַ רוח אין דײַן טאַטנס טאַטן אַרײַן!,a ruekh in dayn tatns tatn arayn!
"אַ רענדל אַראָפּ, אַ רענדל אַרויף","a rendl arop, a rendl aroyf"
אַ שטורך טאָן,a shturkh ton
אַ שיינעם דאַנק,a sheynem dank
אָב,ob
אָבֿ,ov
אָבֿינו,ovinu
אַבֿרהם,avrohem
אַבאַזשור,abazhur
אַבאָנירן,abonirn
אַבדאַללאַ,abdalla
אַבי,abi
אָבלאַסט,oblast
אַבסטראַקט,abstrakt
אָבער,ober
אַבראַמאָוויטש,abramovitsh
אַגענט,agent
אָגער,oger
אַגרעס,agres
אַדאַפּטירן,adaptirn
אַדאַפּטירער,adaptirer
אַדוואָקאַט,advokat
אַדווערב,adverb
אַדורך,adurkh
אַדורכן,adurkhn
אַדיע,adye
אַדיעקטיוו,adyektiv
אַדיעקטיוויש,adyektivish
אַדל,adl
אַדלער,adler
אָדלער,odler
אָדם,odem
אַדעס,ades
אָדעס,odes
אָדער,oder
אָדערל,oderl
אָדר,oder
אַדרבא,aderabe
אַדרעס,adres
אָהאַיאָ,ohayo
אַהיים,aheym
אַהיימגיין,aheymgeyn
אַהין,ahin
אָהן,ohn
אַהער,aher
אָהײַאָ,ohayo
אָוואַ,ova
אַוודאי,avade
אַווטאָגראַף,avtograf
אַווטאָר,avtor
אָוונט,ovnt
אָוונטשטערן,ovntshtern
אַוועק,avek
אַוועק־,avek-
אַז,az
אַזאַ,aza
אַזאַ סך,aza sakh
אַזאָט,azot
אַזאַן,azan
אַזבוקע,azbuke
אַזוי,azoy
אַזוי גערופֿן,azoy gerufn
אַזיאַטיש,azyatish
אַזייגער,azeyger
אַזיע,azye
אַזעלכע,azelkhe
אַזערבײַדזשאַן,azerbaydzhan
אָזערע,ozere
אַזש,azh
אָזשענע,ozhene
אַחוץ,akhuts
אַחרון,akhren
אַחריות,akhroyes or akharoyes
אָט,ot
אַטאָם,atom
אַטאָמיש,atomish
אַטאַק,atak
אַטאַקע,atake
אַטלאַנטיש,atlantish
אַטמאָספֿער,atmosfer
אַטמאָספֿערע,atmosfere
אַטעיִזם,ateizm
אַטעיִסט,ateist
אָטעם,otem
אָטעמען,otemen
אַך,akh
אַכט,akht
אַכטל,akhtl
אַכטנס,akhtns
אַכציק,akhtsik
אַכציקסט,akhtsikst
אַכציקסטל,akhtsikstl
אַכצן,akhtsn
אַכצנט,akhtsnt
אַכצנטל,akhtsntl
אַלאַבאַמאַ,alabama
אַלאַסקאַ,alaska
