yiddish,transliteration
אָב,ov
אָבֿ,ov
אָבֿינו,ovinu
אָבלאַסט,oblast
אַגענט,agent
אָגער,oger
אַגרעס,agres
אַדאַפּטירער,adaptirer
אַדוואָקאַט,advokat
אַדווערב,adverb
אַדיעקטיוו,adyektiv
אַדל,adl
אָדלער,odler
אָדער,oder
אָדערל,oderl
אָדר,oder
אַדרעס,adres
אַווטאָגראַף,avtograf
אַווטאָר,avtor
אָוונט,ovnt
אָוונטשטערן,ovntshtern
אַזאָט,azot
אַזבוקע,azbuke
אָזערע,ozere
אָזשענע,ozhene
אַחרון,akhren
אַחריות,akhrayes
אַטאָם,atom
אַטאַק,atak
אַטאַקע,atake
אַטמאָספֿער,atmosfer
אַטמאָספֿערע,atmosfere
אַטעיִזם,ateizm
אַטעיִסט,ateist
אָטעם,otem
אַכטל,akhtl
אַכציקסטל,akhtsikstl
אַכצנטל,akhtsntl
אַלגעברע,algebre
אַלומיניום,aluminyum
אַלטדײַטש,altdaytsh
אַלטהויכדײַטש,althoykhdaytsh
אַלטער,alter
אַליגאַטאָר,aligator
אָליוו,oliv
אַלמער,almer
אַלעע,alee
אַלערגיע,alergye
אַלף,alef
אַלף־בית,alef-beys
אַלפֿאַבעט,alfabet
אַלקאָהאָל,alkohol
אַלקאָהאָליזם,alkoholizm
אַם,am
אַמבאַסאַדע,ambasade
אַמורא,amoyre
אָמלעט,omlet
אַמנעזיע,amnezye
אַמעריקאַנער,amerikaner
אַנאַנאַס,ananas
אַנאַרכיזם,anarkhizm
אַנאַרכיסט,anarkhist
אָנדענק,ondenk
אָנהייב,onheyb
אָנהייבער,onheyber
אַנולירונג,anulirung
אַנטאָלאָגיע,antologye
אָנטאָלאָגיע,ontologye
אָנטאָן,onton
אָנטייל,onteyl
אָנטיילונג,onteylung
אַנטיסעמיט,antisemit
אַנטיסעמיטיזם,antisemitizm
אַנטיפּאַטיע,antipatye
אַנטיק,antik
אַנטלויף,antloyf
אַנטלויפֿער,antloyfer
אַנטראָפּאָלאָגיע,antropologye
אַנטשולדיקונג,antshuldikung
אַנסאַמבל,ansambl
אַנעקדאָט,anekdot
אָנפֿאַנגער,onfanger
אָנצינדער,ontsinder
אָנקל,onkl
אַנקעטע,ankete
אַסטראָנויט,astronoyt
אַסטראָנמיע,astronmye
אָסיען,osyen
אַספּירין,aspirin
אַעראָדראָם,aerodrom
אַעראָפּאָרט,aeroport
אַעראָפּלאַן,aeroplan
אַפֿאָריזם,aforizm
אַפּאַטיע,apatye
אַפּאָסטאָל,apostol
